ar_name;shi_name;taqbilt;shi_taqbilt
بواليل;Buwallil;ازوريغالن;Azul Iɣaln
تامزا;Tamza;ازوريغالن;Azul Iɣaln
توراشت;Turact;ازوريغالن;Azul Iɣaln
أسول;Asul;ازوريغالن;Azul Iɣaln
إكر أو سول;Igr Usul;ازوريغالن;Azul Iɣaln
آيت عمر ;Ayt Ɛmr;ازوريغالن;Azul Iɣaln
أنامر ولكطين;Anammr Ulgṭin;ازوريغالن;Azul Iɣaln
أساي ولكطينن;Asay Ulgṭin;ازوريغالن;Azul Iɣaln
تفوهامت;Tafuhamt;ازوريغالن;Azul Iɣaln
آيت همو أعلي;Ayt Hmmu u Ɛli;ازوريغالن;Azul Iɣaln
آيت علي أعلي;Ayt Ɛli u Ɛli;ازوريغالن;Azul Iɣaln
تفدالت;Tafdalt;ازوريغالن;Azul Iɣaln
تكضيشت;Tagḍict;ازوريغالن;Azul Iɣaln
أنلخت;Anlaxt;ازوريغالن;Azul Iɣaln
تودانت;Tawdant;ازوريغالن;Azul Iɣaln
آيت داود ;Ayt Dawd;ازوريغالن;Azul Iɣaln
إفرض أنزكارن;Ifrḍ Inzgarn;ازوريغالن;Azul Iɣaln
أفلا نتكوشت;Aflla n Tkuct;تكوشت;Takuct
ثلاث نزضين;Tlat n Zḍin;تكوشت;Takuct
تزكان;Tzukan;تكوشت;Takuct
تغمرت;Tiɣmrt;تكوشت;Takuct
آيت الطالب أ عبد الله;Ayt Ṭalb u Ɛbdllah;تكوشت;Takuct
تسقيموت;Tasqimut;تكوشت;Takuct
آيت أنجار;Ayt Anjjar;تكوشت;Takuct
تغالين;Tiɣalin;تكوشت;Takuct
إدغارن;Idɣarn;تكوشت;Takuct
إمكرغيتن;Amkrɣitn;تكوشت;Takuct
إموشيون;Imucciwn;تكوشت;Takuct
تكتيب;Taknit;تكوشت;Takuct
توضاض;Duḍaḍ;آيت واسيفاد;Ayt Wasifad
أسلدرار;Asldrar;آيت واسيفاد;Ayt Wasifad
أيوفييس;Ayufis;آيت واسيفاد;Ayt Wasifad
تكديرت;Tagadirt;آيت واسيفاد;Ayt Wasifad
تسكينت;Tisgnit;آيت واسيفاد;Ayt Wasifad
أسفركيس;Asɣrkis;آيت واسيفاد;Ayt Wasifad
إزوكاين;Izugayn;آيت واسيفاد;Ayt Wasifad
تيوليت;Tiwliyt;آيت واسيفاد;Ayt Wasifad
آيت بن علي;Ayt Bn Ɛli;آيت واسيفاد;Ayt Wasifad
آيت الطالب;Ayt Ṭalb;آيت واسيفاد;Ayt Wasifad
تمجلوجت;Tamjluct;آيت واسيفاد;Ayt Wasifad
إفولوسن;Ifullusn;آيت واسيفاد;Ayt Wasifad
تيكياس;Tigissas;آيت واسيفاد;Ayt Wasifad
إدارنو;Adarnu;آيت واسيفاد;Ayt Wasifad
تيكمي واف;Tigmmi Waf;آيت واسيفاد;Ayt Wasifad
سوق الخميس المركز;Lxmis;آيت واسيفاد;Ayt Wasifad
آيت سحنون;Ayt Sḥnun;آيت واسيفاد;Ayt Wasifad
أمز أوخسان;Amzxsan;آيت واسيفاد;Ayt Wasifad
تمايلت;Tamaylt;آيت واسيفاد;Ayt Wasifad
تيفرادين;Tifṛaḍn;آيت واسيفاد;Ayt Wasifad
تاريكيت;Tarikit;آيت واسيفاد;Ayt Wasifad
آيت بنعيسن;Ayt Bn Ɛis;آيت واسيفاد;Ayt Wasifad
تازكا إيرغ;Taẓkka Irɣ;آيت واسيفاد;Ayt Wasifad
أكرض نتزاك;Agṛḍ n Tzak;آيت واسيفاد;Ayt Wasifad
توريرت إيزغ;Tawrirt Irɣ;آيت واسيفاد;Ayt Wasifad
آيت تمزكيد;Ayt Tmzgid;آيت واسيفاد;Ayt Wasifad
تغزوت إيرغ;Taɣazut Irɣ;آيت واسيفاد;Ayt Wasifad
تالكزاوت;Talgzawt;آيت واسيفاد;Ayt Wasifad
ويت أو الروين;Wit Walrwin;آيت واسيفاد;Ayt Wasifad
إمي أوكلاكال;Imi u Aglagal;آيت واسيفاد;Ayt Wasifad
زاوية سيدي يعقوب;Zawiyat Sidi Yaɛqub;آيت وافاياض;Ayt Wafayaḍ
آيت العاليم;Ayt Lɛalim;آيت وافاياض;Ayt Wafayaḍ
تين بيكيضو;Tin Bikiḍu;آيت وافاياض;Ayt Wafayaḍ
تافرييونت;Tafryunt;آيت وافاياض;Ayt Wafayaḍ
إكرامن;Igʷrramn;آيت وافاياض;Ayt Wafayaḍ
إكيوضن;Ikiyuḍn;آيت وافاياض;Ayt Wafayaḍ
إمشيون;Imucciwn;آيت وافاياض;Ayt Wafayaḍ
آيت أومزيل;Ayt Umzil;آيت وافاياض;Ayt Wafayaḍ
ثلاث موس;Tlat Mus;آيت وافاياض;Ayt Wafayaḍ
آيت ويختار;Ayt Wixtar;آيت وافاياض;Ayt Wafayaḍ
تيمفور;Timɣur;آيت وافاياض;Ayt Wafayaḍ
إيوال;Iwwal;آيت وافاياض;Ayt Wafayaḍ
آيت أوبراييم;Ayt u Bṛayyim;آيت وافاياض;Ayt Wafayaḍ
أودير;Awdid;آيت وافاياض;Ayt Wafayaḍ
أفرادا;Tfrada;آيت وافاياض;Ayt Wafayaḍ
تيوغزا;Tiwɣza;آيت وافاياض;Ayt Wafayaḍ
أكادير نكامزت;Agadir n Gmzt;آيت وافاياض;Ayt Wafayaḍ
تيفغلت إفرخسن;Tifɣlt Ifaxsn;آيت وافاياض;Ayt Wafayaḍ
إغير إفران;Iɣir Ifran;آيت وافاياض;Ayt Wafayaḍ
إزعرين;Izɛrin;آيت وافاياض;Ayt Wafayaḍ
دار وامان;Dar Waman;آيت وافاياض;Ayt Wafayaḍ
آيت بوالحاج;Ayt Bu Lḥajj;آيت وافاياض;Ayt Wafayaḍ
إعدلان;Iɛdlan;آيت وافاياض;Ayt Wafayaḍ
تاحوكات;Taḥggʷat;آيت وافاياض;Ayt Wafayaḍ
توريرت نبوموس;Tawrirt n Bumus;آيت وافاياض;Ayt Wafayaḍ
تابنانات;Tabnanat;آيت وافاياض;Ayt Wafayaḍ
إمحيلن;Imḥiln;آيت وافاياض;Ayt Wafayaḍ
تيزيرت;Tizirt;آيت وافاياض;Ayt Wafayaḍ
توشنت;Tuccnt;آيت وافاياض;Ayt Wafayaḍ
تيزركان;Tizʷrgan;آيت وافاياض;Ayt Wafayaḍ
